Код;Артикул;Штрихкод;Наименование;Категория;Описание;Остаток;Единица измерения;Годен до;Серийные номера;Нулевая;Ремонтная;Розничная;Стандартна ціна
;;;11 128Gb B Black 100%;iPhone > 11 > 11 128Gb;; 1;pcs;;356559100414155; 0; 0; 230; 0
;;;11 128Gb B+ Black 100%;iPhone > 11 > 11 128Gb;; 1;pcs;;351664763592365; 0; 0; 230; 0
;;;11 64Gb A Black 100% R-sim;iPhone > 11 > 11 64Gb;; 2;pcs;;350401987222755, 351010397113451; 0; 0; 130; 0
;;;11 Pro 256Gb B Gold 100%;iPhone > 11 Pro > 11 Pro 256Gb;; 1;pcs;;353241100147670; 0; 0; 250; 0
;;;11 Pro 64Gb B Gold 100%;iPhone > 11 Pro > 11 Pro 64Gb;; 1;pcs;;353241100151193; 0; 0; 220; 0
;;;11 Pro 64Gb Midnight Green 100%;iPhone > 11 Pro > 11 Pro 64Gb;Замінена акб; 1;pcs;;353247100256031; 143; 22; 220; 0
;;;11 Pro Max 256Gb B Gold 85%;iPhone > 11 Pro Max > 11 Pro Max 256Gb;; 1;pcs;;353909100622328; 120; 0; 275; 0
;;;11 Pro Max 64Gb B Midnight Green 91% (Рабочий);iPhone > 11 Pro Max > 11 Pro Max 64Gb;; 1;pcs;;353908102056055; 0; 0; 270; 0
;;;12 128Gb Red B 89%;iPhone > 12 > 12 128Gb;; 1;pcs;;353719576672164; 0; 0; 290; 0
;;;12 64Gb A Purple 100%;iPhone > 12;; 1;pcs;;359676577349222; 144; 23; 275; 0
;;;12 64Gb B Blue 91%;iPhone > 12 > 12 64Gb;(Корпус, накрут акб 87-91%); 1;pcs;;356594593218318; 142; 38; 265; 0
;;;12 Pro 128Gb A Graphite 87%;iPhone > 12 Pro > 12 Pro 128GB;; 1;pcs;;351001681927870; 0; 0; 330; 0
;;;12 Pro 128Gb A Graphite 92%;iPhone > 12 Pro > 12 Pro 128GB;; 1;pcs;;355103313062708; 0; 0; 330; 0
;;;12 Pro 128Gb A Pacific Blue 100%;iPhone > 12 Pro > 12 Pro 128GB;; 1;pcs;;354009844812423; 250; 23; 330; 0
;;;12 Pro 128Gb C Pacific Blue 75%;iPhone > 12 Pro > 12 Pro 128GB;; 1;pcs;;350522071544380; 0; 0; 300; 0
;;;12 Pro 256Gb B Graphite 90%;iPhone > 12 Pro > 12 Pro 256Gb;; 1;pcs;;353075111467986; 0; 0; 380; 0
;;;12 Pro Max 128Gb A Gold 100%;iPhone > 12 Pro Max > 12 Pro Max 128Gb;; 1;pcs;;350888741950509; 275; 24; 400; 0
;;;12 Pro Max 128Gb B+ Pacific Blue 100%;iPhone > 12 Pro Max > 12 Pro Max 128Gb;; 1;pcs;;354876507773096; 0; 0; 400; 0
;;;12 Pro Max 256Gb B Pacific Blue 92%;iPhone > 12 Pro Max > 12 Pro Max 256Gb;; 1;pcs;;359735190470813; 0; 0; 430; 0
